Trait_code	Trait_name	Domain	ChapterLevel	SubchapterLevel	OriginalFileName	EvonneFileName
2080	Frequency of tiredness / lethargy in last 2 weeks	Psychiatric	Mental Functions	Temperament and Personality Functions	2080.ldsc.imputed_v3.both_sexes.tsv.bgz	Frequency_of_tiredness__lethargy_in_last_2_weeks.2080.bgz
2090	Seen doctor (GP) for nerves, anxiety, tension or depression	Psychiatric	Mental Functions	Temperament and Personality Functions	2090.ldsc.imputed_v3.both_sexes.tsv.bgz	Seen_doctor_GP_for_nerves,_anxiety,_tension_or_depression.2090.bgz
2100	Seen a psychiatrist for nerves, anxiety, tension or depression	Psychiatric	Mental Functions	Temperament and Personality Functions	2100.ldsc.imputed_v3.both_sexes.tsv.bgz	Seen_a_psychiatrist_for_nerves,_anxiety,_tension_or_depression.2100.bgz
21001_irnt	Body mass index (BMI)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	21001_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Body_mass_index_BMI.21001_irnt.bgz
21002_irnt	Weight	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	21002_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Weight.21002_irnt.bgz
2129	Answered sexual history questions	Psychiatric	Mental Functions	Temperament and Personality Functions	2129.ldsc.imputed_v3.both_sexes.tsv.bgz	Answered_sexual_history_questions.2129.bgz
2139_irnt	Age first had sexual intercourse	Reproduction	Genitourinary and Reproductive Functions	Sexual Functions	2139_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Age_first_had_sexual_intercourse.2139_irnt.bgz
2149	Lifetime number of sexual partners	Reproduction	Genitourinary and Reproductive Functions	Sexual Functions	2149.ldsc.imputed_v3.both_sexes.tsv.bgz	Lifetime_number_of_sexual_partners.2149.bgz
2178	Overall health rating	Activities	Self-Care	Looking After One's Health	2178.ldsc.imputed_v3.both_sexes.tsv.bgz	Overall_health_rating.2178.bgz
2188	Long-standing illness, disability or infirmity	Mortality	Mortality	All-Cause Mortality	2188.ldsc.imputed_v3.both_sexes.tsv.bgz	Long-standing_illness,_disability_or_infirmity.2188.bgz
22126	Doctor diagnosed hayfever or allergic rhinitis	Respiratory	Diseases of the Respiratory System	Vasomotor and Allergic Rhinitis	22126.ldsc.imputed_v3.both_sexes.tsv.bgz	Doctor_diagnosed_hayfever_or_allergic_rhinitis.22126.bgz
2217_irnt	Age started wearing glasses or contact lenses	Activities	Self-Care	Looking After One's Health	2217_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Age_started_wearing_glasses_or_contact_lenses.2217_irnt.bgz
2237	Plays computer games	Activities	Communication	Conversation and Use of Communication Devices and Techniques	2237.ldsc.imputed_v3.both_sexes.tsv.bgz	Plays_computer_games.2237.bgz
2247_0	Hearing difficulty/problems: No	Ear, Nose, Throat	Sensory Functions and Pain	Hearing Functions	2247_0.ldsc.imputed_v3.both_sexes.tsv.bgz	Hearing_difficultyproblems:_No.2247_0.bgz
2247_1	Hearing difficulty/problems: Yes	Ear, Nose, Throat	Sensory Functions and Pain	Hearing Functions	2247_1.ldsc.imputed_v3.both_sexes.tsv.bgz	Hearing_difficultyproblems:_Yes.2247_1.bgz
22501_irnt	Year ended full time education	Environment	Major Life Areas	Education	22501_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Year_ended_full_time_education.22501_irnt.bgz
22506_113	Tobacco smoking: Ex-smoker	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	22506_113.ldsc.imputed_v3.both_sexes.tsv.bgz	Tobacco_smoking:_Ex-smoker.22506_113.bgz
22506_114	Tobacco smoking: Never smoked	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	22506_114.ldsc.imputed_v3.both_sexes.tsv.bgz	Tobacco_smoking:_Never_smoked.22506_114.bgz
2257	Hearing difficulty/problems with background noise	Ear, Nose, Throat	Sensory Functions and Pain	Hearing Functions	2257.ldsc.imputed_v3.both_sexes.tsv.bgz	Hearing_difficultyproblems_with_background_noise.2257.bgz
22704_irnt	Home location - north co-ordinate (rounded)	Activities	Domestic Life	Acquisition of Necessities	22704_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Home_location_-_north_co-ordinate_rounded.22704_irnt.bgz
2296	Falls in the last year	Environment	Injury, Poisoning and Certain Other Consequences of External Causes	Superficial Injuries Involving Multiple Body Regions	2296.ldsc.imputed_v3.both_sexes.tsv.bgz	Falls_in_the_last_year.2296.bgz
23098_irnt	Weight	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23098_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Weight.23098_irnt.bgz
23099_irnt	Body fat percentage	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23099_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Body_fat_percentage.23099_irnt.bgz
23100_irnt	Whole body fat mass	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23100_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Whole_body_fat_mass.23100_irnt.bgz
23101_irnt	Whole body fat-free mass	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23101_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Whole_body_fat-free_mass.23101_irnt.bgz
23102_irnt	Whole body water mass	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23102_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Whole_body_water_mass.23102_irnt.bgz
23104_irnt	Body mass index (BMI)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23104_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Body_mass_index_BMI.23104_irnt.bgz
23105_irnt	Basal metabolic rate	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23105_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Basal_metabolic_rate.23105_irnt.bgz
23106_irnt	Impedance of whole body	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23106_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Impedance_of_whole_body.23106_irnt.bgz
23107_irnt	Impedance of leg (right)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23107_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Impedance_of_leg_right.23107_irnt.bgz
23108_irnt	Impedance of leg (left)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23108_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Impedance_of_leg_left.23108_irnt.bgz
23109_irnt	Impedance of arm (right)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23109_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Impedance_of_arm_right.23109_irnt.bgz
23110_irnt	Impedance of arm (left)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23110_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Impedance_of_arm_left.23110_irnt.bgz
23111_irnt	Leg fat percentage (right)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23111_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Leg_fat_percentage_right.23111_irnt.bgz
23112_irnt	Leg fat mass (right)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23112_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Leg_fat_mass_right.23112_irnt.bgz
23113_irnt	Leg fat-free mass (right)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23113_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Leg_fat-free_mass_right.23113_irnt.bgz
23114_irnt	Leg predicted mass (right)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23114_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Leg_predicted_mass_right.23114_irnt.bgz
23115_irnt	Leg fat percentage (left)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23115_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Leg_fat_percentage_left.23115_irnt.bgz
23116_irnt	Leg fat mass (left)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23116_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Leg_fat_mass_left.23116_irnt.bgz
23117_irnt	Leg fat-free mass (left)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23117_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Leg_fat-free_mass_left.23117_irnt.bgz
23118_irnt	Leg predicted mass (left)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23118_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Leg_predicted_mass_left.23118_irnt.bgz
23119_irnt	Arm fat percentage (right)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23119_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Arm_fat_percentage_right.23119_irnt.bgz
23120_irnt	Arm fat mass (right)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23120_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Arm_fat_mass_right.23120_irnt.bgz
23121_irnt	Arm fat-free mass (right)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23121_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Arm_fat-free_mass_right.23121_irnt.bgz
23122_irnt	Arm predicted mass (right)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23122_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Arm_predicted_mass_right.23122_irnt.bgz
23123_irnt	Arm fat percentage (left)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23123_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Arm_fat_percentage_left.23123_irnt.bgz
23124_irnt	Arm fat mass (left)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23124_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Arm_fat_mass_left.23124_irnt.bgz
23125_irnt	Arm fat-free mass (left)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23125_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Arm_fat-free_mass_left.23125_irnt.bgz
23126_irnt	Arm predicted mass (left)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23126_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Arm_predicted_mass_left.23126_irnt.bgz
23127_irnt	Trunk fat percentage	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23127_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Trunk_fat_percentage.23127_irnt.bgz
23128_irnt	Trunk fat mass	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23128_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Trunk_fat_mass.23128_irnt.bgz
23129_irnt	Trunk fat-free mass	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23129_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Trunk_fat-free_mass.23129_irnt.bgz
23130_irnt	Trunk predicted mass	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	23130_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Trunk_predicted_mass.23130_irnt.bgz
2316	Wheeze or whistling in the chest in last year	Respiratory	Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified	Abnormalities of Breathing	2316.ldsc.imputed_v3.both_sexes.tsv.bgz	Wheeze_or_whistling_in_the_chest_in_last_year.2316.bgz
2335	Chest pain or discomfort	Respiratory	Sensory Functions and Pain	Pain in Chest	2335.ldsc.imputed_v3.both_sexes.tsv.bgz	Chest_pain_or_discomfort.2335.bgz
2375	Relative age of first facial hair	Reproduction	Endocrine, Nutritional and Metabolic Diseases	Disorders of Puberty, Not Elsewhere Classified	2375.ldsc.imputed_v3.male.tsv.bgz	Relative_age_of_first_facial_hair.2375.bgz
2385	Relative age voice broke	Reproduction	Endocrine, Nutritional and Metabolic Diseases	Disorders of Puberty, Not Elsewhere Classified	2385.ldsc.imputed_v3.male.tsv.bgz	Relative_age_voice_broke.2385.bgz
2395_1	Hair/balding pattern: Pattern 1	Dermatological	Functions of the Skin and Related Structures	Functions of Hair	2395_1.ldsc.imputed_v3.male.tsv.bgz	Hairbalding_pattern:_Pattern_1.2395_1.bgz
2395_2	Hair/balding pattern: Pattern 2	Dermatological	Functions of the Skin and Related Structures	Functions of Hair	2395_2.ldsc.imputed_v3.male.tsv.bgz	Hairbalding_pattern:_Pattern_2.2395_2.bgz
2395_4	Hair/balding pattern: Pattern 4	Dermatological	Functions of the Skin and Related Structures	Functions of Hair	2395_4.ldsc.imputed_v3.male.tsv.bgz	Hairbalding_pattern:_Pattern_4.2395_4.bgz
2443	Diabetes diagnosed by doctor	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Diabetes Mellitus	2443.ldsc.imputed_v3.both_sexes.tsv.bgz	Diabetes_diagnosed_by_doctor.2443.bgz
2463	Fractured/broken bones in last 5 years	Body Structures	Injury, Poisoning and Certain Other Consequences of External Causes	Superficial Injuries Involving Multiple Body Regions	2463.ldsc.imputed_v3.both_sexes.tsv.bgz	Fracturedbroken_bones_in_last_5_years.2463.bgz
2473	Other serious medical condition/disability diagnosed by doctor	Mortality	Mortality	All-Cause Mortality	2473.ldsc.imputed_v3.both_sexes.tsv.bgz	Other_serious_medical_conditiondisability_diagnosed_by_doctor.2473.bgz
2492	Taking other prescription medications	Activities	Self-Care	Looking After One's Health	2492.ldsc.imputed_v3.both_sexes.tsv.bgz	Taking_other_prescription_medications.2492.bgz
2644	Light smokers, at least 100 smokes in lifetime	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	2644.ldsc.imputed_v3.both_sexes.tsv.bgz	Light_smokers,_at_least_100_smokes_in_lifetime.2644.bgz
2664_3	Reason for reducing amount of alcohol drunk: Health precaution	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Alcohol	2664_3.ldsc.imputed_v3.both_sexes.tsv.bgz	Reason_for_reducing_amount_of_alcohol_drunk:_Health_precaution.2664_3.bgz
2714	Age when periods started (menarche)	Reproduction	Genitourinary and Reproductive Functions	Menstruation Functions	2714.ldsc.imputed_v3.female.tsv.bgz	Age_when_periods_started_menarche.2714.bgz
2734	Number of live births	Reproduction	Genitourinary and Reproductive Functions	Procreation Functions	2734.ldsc.imputed_v3.female.tsv.bgz	Number_of_live_births.2734.bgz
2744	Birth weight of first child	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Weight Maintenance Functions	2744.ldsc.imputed_v3.female.tsv.bgz	Birth_weight_of_first_child.2744.bgz
2754_irnt	Age at first live birth	Reproduction	Genitourinary and Reproductive Functions	Procreation Functions	2754_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Age_at_first_live_birth.2754_irnt.bgz
2764_irnt	Age at last live birth	Reproduction	Genitourinary and Reproductive Functions	Procreation Functions	2764_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Age_at_last_live_birth.2764_irnt.bgz
2794_irnt	Age started oral contraceptive pill	Reproduction	Genitourinary and Reproductive Functions	Procreation Functions	2794_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Age_started_oral_contraceptive_pill.2794_irnt.bgz
2814	Ever used hormone-replacement therapy (HRT)	Reproduction	Genitourinary and Reproductive Functions	Procreation Functions	2814.ldsc.imputed_v3.female.tsv.bgz	Ever_used_hormone-replacement_therapy_HRT.2814.bgz
2867_irnt	Age started smoking in former smokers	Psychiatric	Mental and Behavioural Disorders	Mental and Behavioural Disorders Due to Use of Tobacco	2867_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Age_started_smoking_in_former_smokers.2867_irnt.bgz
2966_irnt	Age high blood pressure diagnosed	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Blood Pressure Functions	2966_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Age_high_blood_pressure_diagnosed.2966_irnt.bgz
30000_irnt	White blood cell (leukocyte) count	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	WBC	30000_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	White_blood_cell_leukocyte_count.30000_irnt.bgz
30010_irnt	Red blood cell (erythrocyte) count	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	RBC	30010_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Red_blood_cell_erythrocyte_count.30010_irnt.bgz
30020_irnt	Haemoglobin concentration	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	RBC	30020_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Haemoglobin_concentration.30020_irnt.bgz
30030_irnt	Haematocrit percentage	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	RBC	30030_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Haematocrit_percentage.30030_irnt.bgz
30060_irnt	Mean corpuscular haemoglobin concentration	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	RBC	30060_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Mean_corpuscular_haemoglobin_concentration.30060_irnt.bgz
30070_irnt	Red blood cell (erythrocyte) distribution width	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	RBC	30070_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Red_blood_cell_erythrocyte_distribution_width.30070_irnt.bgz
30120_irnt	Lymphocyte count	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	WBC	30120_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Lymphocyte_count.30120_irnt.bgz
30140_irnt	Neutrophill count	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	WBC	30140_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Neutrophill_count.30140_irnt.bgz
30150	Eosinophill count	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	WBC	30150.ldsc.imputed_v3.both_sexes.tsv.bgz	Eosinophill_count.30150.bgz
30180_irnt	Lymphocyte percentage	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	WBC	30180_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Lymphocyte_percentage.30180_irnt.bgz
30200_irnt	Neutrophill percentage	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	WBC	30200_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Neutrophill_percentage.30200_irnt.bgz
30210_irnt	Eosinophill percentage	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	WBC	30210_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Eosinophill_percentage.30210_irnt.bgz
30280_irnt	Immature reticulocyte fraction	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	RBC	30280_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Immature_reticulocyte_fraction.30280_irnt.bgz
30510_irnt	Creatinine (enzymatic) in urine	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	30510_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Creatinine_enzymatic_in_urine.30510_irnt.bgz
30520_irnt	Potassium in urine	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	30520_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Potassium_in_urine.30520_irnt.bgz
30530_irnt	Sodium in urine	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	30530_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Sodium_in_urine.30530_irnt.bgz
30600_irnt	Albumin (g/L)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	30600_irnt.imputed_v3.ldsc.both_sexes.tsv.gz	Albumin_gL.30600_irnt.gz
3062_irnt	Forced vital capacity (FVC)	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	3062_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Forced_vital_capacity_FVC.3062_irnt.bgz
30620_irnt	Alanine aminotransferase (U/L)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	30620_irnt.imputed_v3.ldsc.both_sexes.tsv.gz	Alanine_aminotransferase_UL.30620_irnt.gz
3063_irnt	Forced expiratory volume in 1-second (FEV1)	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	3063_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Forced_expiratory_volume_in_1-second_FEV1.3063_irnt.bgz
3064_irnt	Peak expiratory flow (PEF)	Respiratory	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Exercise Tolerance Functions	3064_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Peak_expiratory_flow_PEF.3064_irnt.bgz
30650_irnt	Aspartate aminotransferase (U/L)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	30650_irnt.imputed_v3.ldsc.both_sexes.tsv.gz	Aspartate_aminotransferase_UL.30650_irnt.gz
30670_irnt	Urea (mmol/L)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	30670_irnt.imputed_v3.ldsc.both_sexes.tsv.gz	Urea_mmolL.30670_irnt.gz
30680_irnt	Calcium (mmol/L)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	30680_irnt.imputed_v3.ldsc.both_sexes.tsv.gz	Calcium_mmolL.30680_irnt.gz
30700_irnt	Creatinine (umol/L)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	30700_irnt.imputed_v3.ldsc.both_sexes.tsv.gz	Creatinine_umolL.30700_irnt.gz
30750_irnt	Glycated haemoglobin (mmol/mol)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	30750_irnt.imputed_v3.ldsc.both_sexes.tsv.gz	Glycated_haemoglobin_mmolmol.30750_irnt.gz
30770_irnt	IGF-1 (nmol/L)	Endocrine	Functions of the Digestive, Metabolic and Endocrine Systems	Endocrine Gland Functions	30770_irnt.imputed_v3.ldsc.both_sexes.tsv.gz	IGF-1_nmolL.30770_irnt.gz
30810_irnt	Phosphate (mmol/L)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	Water, Mineral and Electrolyte Balance Functions	30810_irnt.imputed_v3.ldsc.both_sexes.tsv.gz	Phosphate_mmolL.30810_irnt.gz
30850_irnt	Testosterone (nmol/L)	Reproduction	Endocrine, Nutritional and Metabolic Diseases	Disorders of Puberty, Not Elsewhere Classified	30850_irnt.imputed_v3.ldsc.both_sexes.tsv.gz	Testosterone_nmolL.30850_irnt.gz
30860_irnt	Total protein (g/L)	Metabolic	Functions of the Digestive, Metabolic and Endocrine Systems	General Metabolic Functions	30860_irnt.imputed_v3.ldsc.both_sexes.tsv.gz	Total_protein_gL.30860_irnt.gz
3143_irnt	Ankle spacing width	Skeletal	Structures Related to Movement	Structure of Ankle	3143_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Ankle_spacing_width.3143_irnt.bgz
3144_irnt	Heel Broadband ultrasound attenuation, direct entry	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	3144_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Heel_Broadband_ultrasound_attenuation,_direct_entry.3144_irnt.bgz
3147_irnt	Heel quantitative ultrasound index (QUI), direct entry	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	3147_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Heel_quantitative_ultrasound_index_QUI,_direct_entry.3147_irnt.bgz
3148_irnt	Heel bone mineral density (BMD)	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	3148_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Heel_bone_mineral_density_BMD.3148_irnt.bgz
3581_irnt	Age at menopause (last menstrual period)	Reproduction	Genitourinary and Reproductive Functions	Menstruation Functions	3581_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Age_at_menopause_last_menstrual_period.3581_irnt.bgz
399_irnt	Number of incorrect matches in round	Cognitive	Mental Functions	Higher-Level Cognitive Functions	399_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Number_of_incorrect_matches_in_round.399_irnt.bgz
400_irnt	Time to complete round	Cognitive	Mental Functions	Higher-Level Cognitive Functions	400_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Time_to_complete_round.400_irnt.bgz
404_irnt	Duration to first press of snap-button in each round	Cognitive	Mental Functions	Psychomotor Functions	404_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Duration_to_first_press_of_snap-button_in_each_round.404_irnt.bgz
4079_irnt	Diastolic blood pressure, automated reading	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Blood Pressure Functions	4079_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Diastolic_blood_pressure,_automated_reading.4079_irnt.bgz
4080_irnt	Systolic blood pressure, automated reading	Cardiovascular	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Blood Pressure Functions	4080_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Systolic_blood_pressure,_automated_reading.4080_irnt.bgz
4100_irnt	Ankle spacing width (left)	Skeletal	Structures Related to Movement	Structure of Ankle	4100_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Ankle_spacing_width_left.4100_irnt.bgz
4101_irnt	Heel broadband ultrasound attenuation (left)	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	4101_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Heel_broadband_ultrasound_attenuation_left.4101_irnt.bgz
4104_irnt	Heel quantitative ultrasound index (QUI), direct entry (left)	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	4104_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Heel_quantitative_ultrasound_index_QUI,_direct_entry_left.4104_irnt.bgz
4105_irnt	Heel bone mineral density (BMD) (left)	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	4105_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Heel_bone_mineral_density_BMD_left.4105_irnt.bgz
4106_irnt	Heel bone mineral density (BMD) T-score, automated (left)	Skeletal	Structures Related to Movement	Structures related to movement, unspecified	4106_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Heel_bone_mineral_density_BMD_T-score,_automated_left.4106_irnt.bgz
4119_irnt	Ankle spacing width (right)	Skeletal	Structures Related to Movement	Structure of Ankle	4119_irnt.ldsc.imputed_v3.both_sexes.tsv.bgz	Ankle_spacing_width_right.4119_irnt.bgz
